缤	bbaa
婌	ejaui
姝	ejauu
属	ejav
漱	ejavi
沭	ejavo
澍	ejavoo
署	ejia
蜀	ejiau
墅	ejiav
竖	ejii
蔬	ejiia
薯	ejiii
菽	ejiiiv
倏	ejiiu
抒	ejiu
摅	ejiui
舒	ejiv
鄃	ejiva
叔	ejivao
毹	ejivu
暑	ejoi
曙	ejoii
糬	ejou
数	ejouuv
孰	ejov
庶	ejovo
塾	ejovv
殳	ejua
腧	ejui
鼠	ejuiao
黍	ejuv
秫	ejuvv
输	ejva
树	ejvaov
束	ejvi
术	ejvo
述	ejvooa
梳	ejvov
殊	ejvu
戍	ejvuo
枢	ejvv
琡	ejvvi
驶	ekaa
浉	ekai
湿	ekao
湜	ekaoi
虱	ekau
始	ekauao
尸	ekav
屎	ekavo
鸤	ekavu
史	ekia
似	ekiao
峙	ekiav
畤	ekiavo
莳	ekii
蓍	ekiiu
食	ekio
铈	ekioo
师	ekiu
势	ekiua
誓	ekiuo
逝	ekiuoa
什	ekiuoo
拭	ekiuv
仕	ekiv
使	ekivia
侍	ekivo
诗	ekoa
视	ekoai
识	ekoao
谥	ekoaou
祏	ekoav
呞	ekoavo
襫	ekoavv
试	ekoavv
匙	ekoi
嘘	ekoiv
时	ekoivi
是	ekoivi
室	ekoo
实	ekooo
恃	ekoov
嗜	ekou
噬	ekouv
炻	ekouvu
市	ekov
施	ekovu
狮	ekua
鲺	ekuaa
蚀	ekuai
鲥	ekuao
饰	ekuau
氏	ekuav
鼫	ekui
释	ekuo
十	ekuoo
辻	ekuooa
弑	ekuov
失	ekuv
适	ekuvo
舐	ekuvu
矢	ekuvv
筮	ekuvvi
䏡	ekuvvi
轼	ekva
世	ekvi
贳	ekvia
事	ekviav
䴓	ekviu
士	ekvo
邿	ekvoa
螫	ekvoi
埘	ekvooi
柿	ekvov
豕	ekvua
殖	ekvuu
式	ekvv
示	ekvvi
奭	ekvvu
栻	ekvvv
妁	elauua
蒴	elii
铄	elioua
搠	eliu
朔	elou
烁	elouua
槊	elouv
硕	elvuvu
骦	emaa
双	emaoao
孀	emauvo
泷	emav
漺	emavu
霜	emvo
鹴	emvou
礵	emvu
爽	emvuou
渗	enaa
绅	enaai
沈	enao
深	enaoau
渖	enaoo
婶	enau
